molecule_chembl_id,canonical_smiles,standard_value,pchembl_value,bioactivity_class
CHEMBL1683559,N[C@H]1CN(c2cc(-c3cc(F)c(F)cc3F)ncn2)C[C@@H]1N1CCCCC1=O,47.0,7.33,Aktif
CHEMBL1683560,N[C@H]1CN(c2cc(N3CCc4nocc4C3)ncn2)C[C@@H]1c1ccccc1,1.6,8.8,Aktif
CHEMBL1683561,N[C@H]1CN(c2cc(N3CCc4nocc4C3)ncn2)C[C@@H]1N1CCCC1=O,153.0,6.82,Ara Bileşik
CHEMBL1683562,N[C@H]1CN(c2cc(N3CCc4nocc4C3)ncn2)C[C@@H]1N1CCCCC1=O,12.0,7.92,Aktif
CHEMBL1683563,N[C@H]1CN(c2cc(NC3CC3)ncn2)C[C@@H]1c1ccccc1,19.0,7.72,Aktif
CHEMBL1683564,N[C@H]1CN(c2cc(NC3CC3)ncn2)C[C@@H]1N1CCCC1=O,1400.0,5.85,Aktif Değil
CHEMBL1683565,N[C@H]1CN(c2cc(NC3CC3)ncn2)C[C@@H]1N1CCCCC1=O,74.0,7.13,Ara Bileşik
CHEMBL1683566,COc1ccc(-c2cc(N3C[C@H](N)[C@@H](N4CCCCC4=O)C3)ncn2)cn1,39.0,7.41,Aktif
CHEMBL1683567,N[C@H]1CN(c2ncnc(-c3ccccc3)n2)C[C@@H]1N1CCCCC1=O,59.0,7.23,Ara Bileşik
CHEMBL1683568,N[C@H]1CN(c2cc(N3CCC(F)(F)C3)ncn2)C[C@@H]1N1CCCCC1=O,26.0,7.58,Aktif
CHEMBL1683569,N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CCCCC1=O,37.0,7.43,Aktif
CHEMBL1683570,N[C@H]1CN(c2cc(N3CCC(F)(F)C3)ncn2)C[C@@H]1N1CC(F)(F)CCC1=O,8.4,8.08,Aktif
CHEMBL1683571,N[C@H]1CN(c2ncnc(N3CCC(F)(F)C3)n2)C[C@@H]1N1CC(F)(F)CCC1=O,23.0,7.64,Aktif
CHEMBL1683572,Cc1nc(N2C[C@H](N)[C@@H](N3CC(F)(F)CCC3=O)C2)cc(N2CCC(F)(F)C2)n1,13.0,7.89,Aktif
CHEMBL1684000,N[C@@H](CC(=O)N1CCn2nnc(-c3cnco3)c2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,17.83,7.75,Aktif
CHEMBL1683999,N[C@@H](CC(=O)N1CCn2nnc(-c3ccsc3)c2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,47.27,7.33,Aktif
CHEMBL1683998,Cl.N[C@@H](CC(=O)N1CCn2nnc(-c3cccs3)c2C1)Cc1cc(F)c(F)cc1F,22.76,7.64,Aktif
CHEMBL1683997,N[C@@H](CC(=O)N1CCn2nnc(-c3ccoc3)c2C1)Cc1cc(F)c(F)cc1F.O=C(O)/C=C/C(=O)O,26.17,7.58,Aktif
